,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,12,4,2.0,35.0,18.0,12.0,3.0,3.0,41.0,21.0,55.0,1978
2,Aberdeen,36.0,14,3,1.0,43.0,13.0,8.0,6.0,4.0,25.0,16.0,53.0,1978
3,Dundee United,36.0,9,4,5.0,28.0,17.0,7.0,4.0,7.0,14.0,15.0,40.0,1978
4,Hibernian,36.0,10,5,3.0,35.0,16.0,5.0,2.0,11.0,16.0,27.0,37.0,1978
5,Celtic,36.0,11,3,4.0,36.0,19.0,4.0,3.0,11.0,27.0,35.0,36.0,1978
6,Motherwell,36.0,8,3,7.0,28.0,24.0,5.0,4.0,9.0,17.0,28.0,33.0,1978
7,Partick Thistle,36.0,10,2,6.0,25.0,23.0,4.0,3.0,11.0,27.0,41.0,33.0,1978
8,St. Mirren,36.0,7,5,6.0,29.0,25.0,4.0,3.0,11.0,23.0,38.0,30.0,1978
9,Ayr United,36.0,5,3,10.0,17.0,28.0,4.0,3.0,11.0,19.0,40.0,24.0,1978
10,Clydebank,36.0,5,3,10.0,16.0,33.0,1.0,4.0,13.0,7.0,31.0,19.0,1978
